date	close	high	low	open	quoteVolume	volume	weightedAverage	price_usd
2015-01-02	7.777000000000001e-05	7.801000000000001e-05	7.61e-05	7.680000000000001e-05	235543.21283525	18.2835039	7.762e-05	0.024511243042222502
2015-01-03	7.389000000000001e-05	7.85e-05	6.900000000000001e-05	7.777000000000001e-05	678686.07391529	50.18973558	7.395e-05	0.022296844432724297
2015-01-04	6.876000000000001e-05	7.389000000000001e-05	6.584e-05	7.191000000000001e-05	1375164.2883451	94.42195348	6.866e-05	0.018998637620424804
2015-01-05	7.497000000000001e-05	7.597e-05	6.783e-05	6.783e-05	517927.53478003	38.30367447	7.395e-05	0.02005076561682065
2015-01-06	7.311000000000001e-05	7.637000000000002e-05	7.16e-05	7.402000000000001e-05	762094.86569564	56.54856633	7.42e-05	0.0203498293146372
2015-01-07	7.2e-05	7.450000000000001e-05	7.007e-05	7.311000000000001e-05	637946.40685805	45.54733289	7.139e-05	0.02095660924433054
2015-01-08	7.195000000000001e-05	7.303000000000001e-05	7.109000000000001e-05	7.230000000000001e-05	552159.08269304	39.69100599	7.188000000000001e-05	0.02087136454933314
2015-01-09	7.152e-05	7.409e-05	7.15e-05	7.257e-05	307359.53968308	22.4951508	7.318e-05	0.021351793462897853
2015-01-10	7.110000000000001e-05	7.401e-05	6.878e-05	7.204000000000001e-05	956690.55096395	68.05206177	7.113e-05	0.02009447120739036
2015-01-11	7.073000000000001e-05	7.114e-05	6.6e-05	7.112000000000001e-05	1322687.3781176	90.74694781	6.860000000000001e-05	0.018608327530480338
2015-01-12	6.633000000000001e-05	7.099000000000001e-05	6.633000000000001e-05	7.087e-05	713222.78210402	49.0301022	6.874e-05	0.018903886053096987
2015-01-13	6.474000000000001e-05	6.895e-05	6.1e-05	6.777000000000001e-05	625848.02804988	40.87056488	6.53e-05	0.015463747224401702
2015-01-14	8.037000000000002e-05	8.210000000000002e-05	6.441e-05	6.515e-05	1751876.2251508	129.08056676	7.368000000000001e-05	0.014416843420754001
2015-01-15	8.007999999999999e-05	8.6e-05	7.555000000000001e-05	8.172000000000001e-05	1454204.0445312	116.54100459	8.014e-05	0.01669707263148972
2015-01-16	7.815000000000002e-05	8.099000000000001e-05	7.626e-05	7.962e-05	426650.35492821	33.43404032	7.836000000000002e-05	0.016485386883861083
2015-01-17	7.606e-05	7.82e-05	7.59e-05	7.733e-05	106323.3351777	8.19274118	7.705e-05	0.015444195082969785
2015-01-18	7.496000000000001e-05	7.728e-05	7.163e-05	7.641000000000001e-05	305424.16659001	22.79038793	7.461e-05	0.01565219835493242
2015-01-19	7.582e-05	7.654000000000001e-05	7.402000000000001e-05	7.497000000000001e-05	168064.38156252	12.62051228	7.509000000000001e-05	0.015883290301837605
2015-01-20	7.869000000000001e-05	7.871000000000001e-05	7.499e-05	7.616e-05	729738.72362093	56.01176062	7.675000000000001e-05	0.016368161173116416
2015-01-21	7.475e-05	8.099000000000001e-05	7.475e-05	7.873000000000001e-05	546030.57461472	42.25379639	7.738000000000001e-05	0.016765379496203103
2015-01-22	7.292e-05	7.474e-05	7.172e-05	7.474e-05	541471.92172712	39.45551017	7.286e-05	0.017092601345983973
2015-01-23	7.144000000000001e-05	7.414e-05	7.077e-05	7.32e-05	324789.03362701	23.3766565	7.197e-05	0.01666734372499767
2015-01-24	6.666000000000002e-05	7.340000000000001e-05	6.509000000000002e-05	7.144000000000001e-05	848167.68777904	58.72139581	6.923e-05	0.016712577478362148
